Technology,Year,Value,,Unit,Source,Updated at,Updated by
HLI_Biomass,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Direct_Electric,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Gas_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_H2_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Hardcoal,All,0.45,,Factor,aligned with power-side hardcoal (judgment; DEA-only reading = unconstrained); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Lignite,All,0.3,,Factor,aligned with power-side lignite (judgment); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Oil_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Biomass,All,0.45,,Factor,"grate-fired ~ coal class, halved (judgment-supported); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Gas,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Gas_CCS,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_HardCoal,All,0.45,,Factor,"chain-grate/PF 1-5%/min class, halved; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_HardCoal_CCS,All,0.45,,Factor,"chain-grate/PF 1-5%/min class, halved; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Oil,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Steam_Electric,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Coal_Hardcoal,All,0.45,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,All,0.45,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Coal_Lignite,All,0.3,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Coal_Lignite_CCS,All,0.3,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,All,0.45,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,All,0.45,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,All,0.3,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,All,0.3,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_CCGT,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_CCS,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_OCGT,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_Engines,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_H2_OCGT,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_Steam,All,0.5,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Nuclear,All,0.15,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Hydro_Reservoir,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Biomass,All,0.9,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Biomass_CCS,All,0.9,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,All,0.9,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,All,0.9,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Oil,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Oil,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Hydrogen_FuelCell,All,1.0,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_WasteToEnergy,All,0.45,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Nuclear_SMR,All,0.15,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Gas_CCGT_Residual,All,0.6,,Factor,"Real-world plant ramping (Brouwer 2015, EPRI, IRENA, DEA Tech Cat) halved for perfect-foresight assumption",2026-06-02,Konstantin Loffler <kl@wip.tu-berlin.de>
