Region,Fuel,Year,ModalType,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
AT,Mobility_Freight,2018,MT_PSNG_AIR,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_ROAD_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_RAIL_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_AIR_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_ROAD_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_RAIL_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2018,MT_PSNG_AIR_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_ROAD,0.65,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_RAIL,0.31,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_SHIP,0.02,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_RAIL_RE,0.21,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_ROAD_CONV,0.61,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_RAIL_CONV,0.07,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_FRT_SHIP_CONV,0.02,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_ROAD,0.64,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_RAIL,0.3,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_SHIP,0.02,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_RAIL_RE,0.21,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_ROAD_CONV,0.48,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_FRT_SHIP_CONV,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_ROAD,0.61,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_RAIL,0.29,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_SHIP,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_RAIL_RE,0.2,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_ROAD_CONV,0.3,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_FRT_SHIP_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_ROAD,0.6,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_RAIL,0.28,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_SHIP,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_RAIL_RE,0.19,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_ROAD_CONV,0.03,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_FRT_SHIP_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_ROAD,0.57,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_RAIL,0.27,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_SHIP,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_RAIL_RE,0.19,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_ROAD_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_FRT_SHIP_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_ROAD,0.55,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_RAIL,0.26,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_SHIP,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_RAIL_RE,0.18,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_ROAD_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_FRT_SHIP_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_ROAD,0.53,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_RAIL,0.25,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_SHIP,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_RAIL_RE,0.17,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_ROAD_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_FRT_SHIP_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_ROAD,0.53,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_RAIL,0.25,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_SHIP,0.01,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_RAIL_RE,0.17,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_ROAD_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_RAIL_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2055,MT_FRT_SHIP_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_ROAD,0.53,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_RAIL,0.25,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_SHIP,0.01,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_RAIL_RE,0.17,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_ROAD_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_RAIL_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Freight,2060,MT_FRT_SHIP_CONV,0,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_ROAD,0.71,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_RAIL,0.18,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_AIR,0.09,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_RAIL_RE,0.13,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_ROAD_CONV,0.69,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_RAIL_CONV,0.05,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2015,MT_PSNG_AIR_CONV,0.09,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_ROAD,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_RAIL,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_SHIP,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_ROAD_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_RAIL_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_SHIP_RE,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_ROAD_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_RAIL_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_FRT_SHIP_CONV,0,,Fraction,No Source required,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_ROAD,0.6303,,Fraction,"Statistical Pocketbook 2021, https://ec.europa.eu/eurostat/databrowser/view/avia_tppa/default/table?lang=en&category=avia.avia_tp",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_RAIL,0.1462,,Fraction,"Statistical Pocketbook 2021, https://ec.europa.eu/eurostat/databrowser/view/avia_tppa/default/table?lang=en&category=avia.avia_tp",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_AIR,0.2234,,Fraction,"Statistical Pocketbook 2021, https://ec.europa.eu/eurostat/databrowser/view/avia_tppa/default/table?lang=en&category=avia.avia_tp",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_ROAD_RE,0,,Fraction,"Assumption: based on share of electric vehicles (https://ec.europa.eu/eurostat/databrowser/view/road_eqs_carpda__custom_12527220/default/table?lang=en), if less than 1% than 0",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_RAIL_RE,0.1169,,Fraction,"Assumption: 80% of rail transport, based on reference: https://alternative-fuels-observatory.ec.europa.eu/transport-mode/rail)",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_AIR_RE,0,,Fraction,Assumption: No renewable air transport,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_ROAD_CONV,0.6303,,Fraction,"Assumption: based on share of electric vehicles (https://ec.europa.eu/eurostat/databrowser/view/road_eqs_carpda__custom_12527220/default/table?lang=en), if less than 1% than 100%",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_RAIL_CONV,0.0292,,Fraction,"Assumption: 20% of rail transport, based on reference: https://alternative-fuels-observatory.ec.europa.eu/transport-mode/rail)",08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2018,MT_PSNG_AIR_CONV,0.2234,,Fraction,Assumption: only conventional air transport,08.08.2024,Karlo Hainsch <k.hainsch@tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_ROAD,0.71,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_RAIL,0.18,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_AIR,0.09,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_RAIL_RE,0.13,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_ROAD_CONV,0.66,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_RAIL_CONV,0.04,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2020,MT_PSNG_AIR_CONV,0.09,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_ROAD,0.69,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_RAIL,0.18,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_AIR,0.09,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_RAIL_RE,0.12,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_ROAD_CONV,0.5,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2025,MT_PSNG_AIR_CONV,0.07,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_ROAD,0.66,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_RAIL,0.17,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_AIR,0.08,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_RAIL_RE,0.12,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_ROAD_CONV,0.33,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2030,MT_PSNG_AIR_CONV,0.03,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_ROAD,0.64,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_RAIL,0.16,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_AIR,0.08,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_RAIL_RE,0.11,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_ROAD_CONV,0.03,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2035,MT_PSNG_AIR_CONV,0.01,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_ROAD,0.62,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_RAIL,0.16,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_AIR,0.08,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_RAIL_RE,0.11,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_ROAD_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_RAIL_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2040,MT_PSNG_AIR_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2045,MT_PSNG_ROAD,0.6,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2045,MT_PSNG_RAIL,0.15,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2045,MT_PSNG_AIR,0.08,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2045,MT_PSNG_RAIL_RE,0.1,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Passenger,2045,MT_PSNG_ROAD_CONV,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
