Technology,Storage,Mode_of_operation,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
D_Battery_Redox,S_Battery_Redox,1,2060,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_CAES,S_CAES,1,2030,0.84,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2035,0.84,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2040,0.84,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2045,0.84,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2050,0.85,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2055,0.85,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2060,0.85,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,All,0.8,,Fraction,Energy Agency Denmark (2024): CAES - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,All,0.99,,Fraction,Energy Agency Denmark (2024): H2 caverns - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,All,0.99,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HB_Tank_Small,S_HB_Tank_Small,1,All,1.0,,Fraction,Energy Agency Denmark (2024): Small Hot Water Tank,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HD_Pit,S_HD_Pit,1,All,0.84,,Fraction,Energy Agency Denmark (2024): PTES round-trip efficiency 70 percent,26.11.2024,Stian Backe <stian.backe@sintef.no>
D_HLI_Tank_Large,S_HLI_Tank_Large,1,All,1.0,,Fraction,Energy Agency Denmark (2024): Large Hot Water Tank,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_PHS,S_PHS,1,All,0.9,,Fraction,Rozali et al. (2013): ISBN 978-88-95608-26-6,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2031,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2032,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2033,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2034,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2036,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2037,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2038,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,2039,0.84,,Fraction,interpolated,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
