Region,Value,Unnamed: 2,Unit,Source,Updated at,Updated by
ME,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
MK,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
NL,0.4,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
NO,70,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
PL,13,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
PT,3.8,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RO,22.6,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RS,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SE,3.4,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SI,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SK,1.4,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
UA,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
UK,25,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
EE,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LT,0.3,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LV,0.04,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RU,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BY,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
California,20,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
WECC,28,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
SPP,0.4,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
MISO,0.2,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
ERCOT,0.4,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
SERC,2.7,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
PJM,2.6,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
NewYork,13,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
NewEngland,2.9,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
Canada,13,,Gton,dummy data - empty entry,23.10.2023,Stian Backe <stian.backe@sintef.no>
