Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
NewEngland,NewYork,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NewYork,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NewYork,NewEngland,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NewYork,PJM,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,NewYork,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,SERC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,ERCOT,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,PJM,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,ERCOT,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,PJM,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,SERC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,WECC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,California,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,ERCOT,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
